userid,password,residence_state,high_school_name,high_school_city,high_school_state,GPA,college_class,major_1,major_2,SAT_math,SAT_EBRW,ACT_English,ACT_math,ACT_reading,ACT_science,ACT_composite,SAT_literature,SAT_US_hist,SAT_world_hist,SAT_math_I,SAT_math_II,SAT_eco_bio,SAT_mol_bio,SAT_chemistry,SAT_physics,num_AP_passed
emelbourn0,adapter,OH,brooklyn technical high school,brooklyn,NY,2.06,2022,English,Sociology,445,549,13,32,10,32,24,677,584,757,670,554,727,365,565,314,1
jeverard1,leading edge,FL,academic magnet high school,north charleston,SC,2.63,2024,Mathematics,Sociology,242,763,3,18,4,24,21,782,768,208,701,495,214,537,561,763,3
bbonnett2,mobile,WY,academy for information technology,scotch plains,NJ,3.26,2024,Biology,Psychology,307,456,30,6,1,6,23,446,246,693,356,410,406,237,595,446,6
kdicarli3,transitional,FL,james madison high school,vienna,VA,3.22,2026,English,Creative Writing,434,645,16,19,9,29,28,632,275,472,240,341,647,622,208,257,4
ihawket4,process improvement,CA,whitney high school,cerritos,CA,2.47,2023,Mathematics,Creative Writing,786,434,31,9,25,9,2,651,750,525,686,217,328,733,778,367,0
kklaessen5,flexibility,TX,brooklyn technical high school,brooklyn,NY,3.65,2023,Biology,Creative Writing,759,472,12,27,1,9,28,277,577,614,661,246,672,609,779,345,8
silden6,encompassing,NC,academic magnet high school,north charleston,SC,2.83,2024,Biology,Sociology,494,461,15,24,13,26,7,289,527,645,748,762,251,293,504,582,6
swissbey7,content-based,FL,academy for information technology,scotch plains,NJ,2.03,2024,Spanish,Psychology,319,512,21,21,19,36,2,642,697,376,588,777,596,509,258,719,10
cingray8,Re-engineered,NY,james madison high school,vienna,VA,2.6,2023,Computer Science,Creative Writing,517,683,9,24,10,9,4,222,254,678,453,791,212,302,367,605,7
gflannigan9,matrices,FL,whitney high school,cerritos,CA,3.11,2025,Spanish,Computer Engineering,542,438,19,8,24,9,19,548,377,697,328,221,724,741,200,554,10
mwardropera,5th generation,CA,brooklyn technical high school,brooklyn,NY,2.95,2024,Mathematics,Sociology,297,287,24,9,15,23,10,302,673,666,788,631,327,584,512,496,4
jfaulknerb,Multi-tiered,TX,academic magnet high school,north charleston,SC,2.77,2024,Mathematics,Sociology,323,485,36,33,22,6,35,394,490,564,450,647,223,245,772,244,0
bhawesc,content-based,KS,academy for information technology,scotch plains,NJ,3.72,2023,Mathematics,Creative Writing,560,454,20,18,7,5,11,263,249,660,470,769,644,264,792,630,2
acallard,parallelism,NV,james madison high school,vienna,VA,2.15,2025,Mathematics,Psychology,251,507,17,18,30,20,17,549,756,329,574,588,389,431,213,763,4
fsparlinge,groupware,TX,whitney high school,cerritos,CA,3.16,2025,Spanish,Sociology,600,375,13,34,17,30,34,632,575,369,692,613,779,707,298,412,8
gguillouf,Reduced,CA,brooklyn technical high school,brooklyn,NY,3.17,2022,Computer Science,Psychology,372,541,26,21,12,33,21,449,204,722,216,579,229,341,244,315,3
tkeseyg,zero tolerance,FL,academic magnet high school,north charleston,SC,3.49,2026,Computer Science,Creative Writing,300,645,22,4,23,1,26,281,552,330,572,457,655,484,236,332,6
uharrawayh,Secured,NY,academy for information technology,scotch plains,NJ,2.98,2024,Biology,Computer Engineering,680,519,32,19,6,16,31,425,363,796,661,392,529,768,589,352,3
spetrici,workforce,CO,james madison high school,vienna,VA,3.45,2026,Biology,Computer Engineering,236,304,34,6,25,24,34,732,589,523,555,342,752,357,794,695,9
hpiperj,composite,TX,whitney high school,cerritos,CA,2.38,2022,Spanish,Creative Writing,639,346,5,11,20,8,16,366,419,308,656,489,407,568,414,607,0
amerrigank,customer loyalty,VA,brooklyn technical high school,brooklyn,NY,3.08,2024,Computer Science,Computer Engineering,446,760,1,13,32,2,22,501,786,290,780,765,289,483,586,705,8
enormandalel,focus group,CO,academic magnet high school,north charleston,SC,3.65,2022,Computer Science,Computer Engineering,229,372,25,28,22,11,5,759,633,444,539,559,746,650,504,353,7
ebalmam,Diverse,CO,academy for information technology,scotch plains,NJ,2.28,2026,Mathematics,Sociology,441,335,2,36,6,30,18,424,579,328,483,518,748,786,713,791,0
mheggen,Devolved,IN,james madison high school,vienna,VA,2.74,2022,Biology,Psychology,472,396,32,9,35,13,21,590,491,410,675,391,776,639,267,238,10
ojacobowitso,context-sensitive,AZ,whitney high school,cerritos,CA,2.08,2024,English,Psychology,294,507,28,36,16,10,4,319,233,293,688,327,341,338,641,786,1
lrigollep,matrix,KS,brooklyn technical high school,brooklyn,NY,2.92,2024,English,Computer Engineering,714,701,10,14,10,15,24,622,350,676,445,471,284,773,323,351,5
aramseyq,Phased,CA,academic magnet high school,north charleston,SC,2.42,2024,Computer Science,Creative Writing,779,655,21,28,1,29,3,453,564,661,655,749,356,397,670,218,4
gwickinsr,Decentralized,MO,academy for information technology,scotch plains,NJ,3.31,2023,Computer Science,Psychology,662,709,4,7,11,8,16,412,216,639,309,570,353,478,294,318,5
