userid,password,residence_state,high_school_name,high_school_city,high_school_state,GPA,college_class,major_1,major_2,SAT_math,SAT_EBRW,ACT_English,ACT_math,ACT_reading,ACT_science,ACT_composite,SAT_literature,SAT_US_hist,SAT_world_hist,SAT_math_I,SAT_math_II,SAT_eco_bio,SAT_mol_bio,SAT_chemistry,SAT_physics,num_AP_passed
warbuckel0,asymmetric,TX,brooklyn technical high school,brooklyn,NY,2.61,2025,Mathematics,Creative Writing,422,654,30,3,5,32,7,702,262,778,507,293,317,502,589,298,10
slabastida1,Persevering,IN,academic magnet high school,north charleston,SC,3.16,2022,English,Computer Engineering,763,775,27,27,28,2,21,312,769,525,790,689,626,700,245,268,10
mhammerberger2,Monitored,OK,academy for information technology,scotch plains,NJ,3.91,2026,Mathematics,Computer Engineering,742,651,36,2,12,1,11,407,520,252,576,262,393,301,357,585,1
lallot3,Visionary,OH,james madison high school,vienna,VA,3.37,2024,Mathematics,Computer Engineering,744,656,15,25,34,12,5,735,405,423,775,723,461,360,686,628,10
bshowers4,optimal,TX,whitney high school,cerritos,CA,2.44,2022,Mathematics,Psychology,643,771,17,36,5,27,16,585,239,647,390,769,533,270,526,345,1
jbrixey5,architecture,CA,brooklyn technical high school,brooklyn,NY,2.19,2022,Mathematics,Psychology,250,356,30,17,2,6,35,365,570,540,637,377,690,467,221,248,6
cmacbane6,Business-focused,CA,academic magnet high school,north charleston,SC,3.84,2024,English,Psychology,208,429,14,26,33,21,6,293,521,435,224,363,298,293,302,223,0
sgoodlife7,Optional,OH,academy for information technology,scotch plains,NJ,2.7,2024,Spanish,Creative Writing,705,568,28,13,35,19,32,538,296,666,710,219,625,213,370,453,7
mmonaghan8,Open-source,HI,james madison high school,vienna,VA,2.88,2023,Mathematics,Sociology,227,505,16,33,18,32,18,629,688,301,628,435,307,428,477,588,3
gralton9,software,WA,whitney high school,cerritos,CA,3.4,2024,Biology,Computer Engineering,558,356,12,35,26,3,7,486,733,592,534,385,709,362,345,582,7
nelstuba,Exclusive,OR,brooklyn technical high school,brooklyn,NY,3.16,2025,Computer Science,Sociology,398,705,3,26,11,9,5,223,320,586,761,302,418,327,372,235,1
cfennelowb,pricing structure,NY,academic magnet high school,north charleston,SC,3.46,2025,Biology,Sociology,700,271,22,34,4,30,32,466,265,745,693,468,204,244,685,492,8
mgolthorppc,flexibility,GA,academy for information technology,scotch plains,NJ,2.93,2025,Spanish,Creative Writing,768,407,17,28,36,4,19,454,671,330,407,571,329,363,439,639,7
ttanseyd,Profound,NY,james madison high school,vienna,VA,2.27,2023,Mathematics,Psychology,361,468,21,30,14,10,26,633,296,206,692,320,458,270,360,441,6
tmarrablee,approach,TX,whitney high school,cerritos,CA,3.12,2022,Computer Science,Creative Writing,618,375,30,22,2,29,31,703,767,360,638,720,343,263,518,517,7
etrunbyf,artificial intelligence,CO,brooklyn technical high school,brooklyn,NY,2.61,2025,Biology,Psychology,574,700,11,5,26,27,24,286,548,600,660,287,315,502,524,650,4
smeadusg,Total,PA,academic magnet high school,north charleston,SC,3.62,2024,Computer Science,Psychology,798,314,8,3,22,16,11,592,404,561,303,323,402,340,682,256,9
oroglierih,infrastructure,GA,academy for information technology,scotch plains,NJ,2.75,2023,Mathematics,Computer Engineering,799,301,26,29,31,20,35,376,519,550,629,403,767,225,216,346,8
jtippettsi,success,TN,james madison high school,vienna,VA,3.01,2026,Biology,Computer Engineering,251,470,35,20,12,3,9,798,242,451,747,412,632,223,596,706,5
jthainj,Profit-focused,DC,whitney high school,cerritos,CA,2.35,2026,Biology,Sociology,210,419,29,13,16,9,10,238,786,390,394,600,476,673,630,749,9
thefferank,utilisation,TX,brooklyn technical high school,brooklyn,NY,3.8,2026,Biology,Sociology,424,406,16,3,20,25,33,643,402,710,708,413,638,258,733,759,0
karnel,foreground,TX,academic magnet high school,north charleston,SC,2.19,2022,Spanish,Psychology,721,609,25,31,7,26,20,279,529,462,387,279,562,463,237,468,8
lbagem,Advanced,FL,academy for information technology,scotch plains,NJ,3.8,2023,Spanish,Psychology,633,386,17,24,4,23,25,339,437,306,384,548,730,433,245,436,2
akeirn,multi-tasking,GA,james madison high school,vienna,VA,2.81,2023,Spanish,Creative Writing,576,346,19,10,31,9,26,519,603,774,538,712,332,624,270,236,0
vcurreyo,knowledge user,MO,whitney high school,cerritos,CA,2.29,2024,Mathematics,Computer Engineering,206,457,3,23,20,9,17,701,738,429,346,257,255,279,598,485,2
iosbornep,hierarchy,LA,brooklyn technical high school,brooklyn,NY,3.26,2025,Spanish,Creative Writing,641,541,19,28,34,10,22,531,629,364,702,276,374,232,375,546,1
dhindenbergerq,budgetary management,TX,academic magnet high school,north charleston,SC,3.2,2025,Biology,Sociology,346,561,3,27,32,18,2,547,454,579,307,716,667,312,549,269,5
pjester,help-desk,IN,academy for information technology,scotch plains,NJ,3.07,2022,Biology,Computer Engineering,722,231,5,25,27,35,20,658,384,295,284,384,303,743,665,643,10
cmalans,product,OH,james madison high school,vienna,VA,2.52,2024,Spanish,Computer Engineering,368,492,7,27,17,11,6,608,695,766,504,563,647,268,727,450,1
lsutherelt,Extended,IL,whitney high school,cerritos,CA,2.99,2025,Mathematics,Computer Engineering,402,217,26,9,10,33,35,440,507,795,353,738,681,360,363,273,5
kjaquestu,Reactive,VA,brooklyn technical high school,brooklyn,NY,3.82,2026,Biology,Computer Engineering,510,625,35,26,18,20,15,698,629,293,235,728,600,436,625,655,7
lkeverenv,24/7,DC,academic magnet high school,north charleston,SC,2.2,2024,Biology,Creative Writing,725,769,26,33,20,7,33,702,267,390,255,742,628,514,228,272,5
iwaytew,Future-proofed,TX,academy for information technology,scotch plains,NJ,3.21,2024,Computer Science,Psychology,332,697,31,25,18,6,12,594,408,473,602,795,554,281,388,240,0
tbengalx,full-range,IL,james madison high school,vienna,VA,3.27,2026,Mathematics,Computer Engineering,672,297,23,24,8,7,29,621,403,419,654,271,411,555,531,510,9
aowensony,tertiary,SC,whitney high school,cerritos,CA,2.41,2026,Spanish,Sociology,338,656,11,12,18,3,31,278,396,455,209,607,412,427,780,215,1
tkemmisz,encoding,NY,brooklyn technical high school,brooklyn,NY,3.09,2024,Mathematics,Sociology,272,555,20,14,15,10,32,250,732,534,506,216,238,722,544,356,5
msherbourne10,Persistent,NY,academic magnet high school,north charleston,SC,3.04,2024,English,Psychology,479,247,15,10,3,30,16,571,368,613,326,352,690,721,357,459,2
prooze11,implementation,FL,academy for information technology,scotch plains,NJ,3.21,2023,Computer Science,Creative Writing,218,646,21,12,23,7,24,633,209,628,449,749,608,332,519,509,10
pmaharey12,Versatile,TX,james madison high school,vienna,VA,3.92,2022,English,Creative Writing,579,563,14,28,14,33,26,677,701,241,526,301,677,461,267,796,9
okhristyukhin13,frame,PA,whitney high school,cerritos,CA,2.4,2023,Spanish,Sociology,634,310,8,32,7,8,5,334,770,720,364,295,421,201,373,425,9
mwinsper14,Decentralized,TX,brooklyn technical high school,brooklyn,NY,2.63,2022,Computer Science,Computer Engineering,310,664,26,34,1,23,19,349,629,478,273,465,404,676,611,323,3
wstallworthy15,object-oriented,KY,academic magnet high school,north charleston,SC,2.54,2025,Mathematics,Sociology,514,525,29,12,28,35,30,285,440,414,202,442,241,561,348,663,3
ahamstead16,knowledge base,PA,academy for information technology,scotch plains,NJ,2.26,2024,Mathematics,Creative Writing,491,681,33,5,8,28,35,355,495,258,524,706,493,561,304,516,8
ageipel17,didactic,NY,james madison high school,vienna,VA,2.74,2025,Spanish,Computer Engineering,682,532,24,13,36,5,24,544,287,322,375,576,763,284,548,433,1
tserrell18,didactic,WI,whitney high school,cerritos,CA,2.31,2026,Biology,Sociology,200,571,13,29,22,19,24,730,398,609,423,355,586,492,553,660,1
priep19,attitude-oriented,AL,brooklyn technical high school,brooklyn,NY,3.39,2025,Spanish,Creative Writing,396,453,18,1,4,19,9,768,419,332,254,646,726,747,501,715,6
rmackain1a,Reactive,WA,academic magnet high school,north charleston,SC,3.11,2024,English,Psychology,779,531,33,10,27,6,33,497,636,204,386,447,405,227,796,207,1
sratcliffe1b,superstructure,NY,academy for information technology,scotch plains,NJ,2.66,2025,Biology,Creative Writing,525,719,2,15,6,4,12,336,577,734,215,545,367,779,464,205,9
jstocks1c,optimizing,IA,james madison high school,vienna,VA,2.23,2026,Biology,Computer Engineering,650,355,12,35,18,25,11,200,595,422,669,727,548,592,342,686,0
zmarchent1d,moratorium,CA,whitney high school,cerritos,CA,2.46,2023,Spanish,Creative Writing,530,793,12,16,27,27,32,403,503,282,217,531,557,315,512,509,1
pphython1e,alliance,MA,brooklyn technical high school,brooklyn,NY,3.97,2025,Mathematics,Creative Writing,423,230,7,1,14,22,12,672,251,316,542,456,245,358,639,379,10
ghabble1f,budgetary management,DC,academic magnet high school,north charleston,SC,2.13,2025,Computer Science,Psychology,738,444,5,11,19,7,2,761,639,391,475,361,710,530,372,618,0
lcarlesso1g,knowledge user,NY,academy for information technology,scotch plains,NJ,3.82,2026,Spanish,Creative Writing,710,601,5,3,8,7,16,489,359,409,517,789,212,260,311,715,7
acornew1h,Sharable,CA,james madison high school,vienna,VA,2.41,2022,Computer Science,Creative Writing,216,380,16,32,36,16,10,303,593,471,436,550,692,268,200,266,8
bfranchyonok1i,regional,IL,whitney high school,cerritos,CA,3.06,2023,Computer Science,Computer Engineering,791,551,29,16,29,12,35,364,485,468,307,470,207,260,260,595,3
hedes1j,circuit,TX,brooklyn technical high school,brooklyn,NY,3.24,2026,English,Computer Engineering,296,260,32,36,34,27,2,392,672,267,450,204,504,562,589,439,0
pbuckbee1k,multi-state,UT,academic magnet high school,north charleston,SC,3.41,2023,Computer Science,Creative Writing,593,601,23,22,20,13,23,710,287,331,785,208,255,686,632,756,0
inabarro1l,Seamless,TX,academy for information technology,scotch plains,NJ,3.9,2025,Spanish,Sociology,428,600,11,8,33,18,4,667,441,278,485,410,494,664,632,723,2
mdoiley1m,Team-oriented,FL,james madison high school,vienna,VA,2.36,2025,Spanish,Psychology,222,310,18,11,32,1,8,573,392,333,779,217,212,440,548,516,3
